gene_name,gene_id_entrez,gene_id_ensembl,mim_number,mim_entry_type
A1BG,1,ENSG00000121410,138670,gene
A1CF,29974,ENSG00000148584,618199,gene
A2M,2,ENSG00000175899,103950,gene
A2ML1,144568,ENSG00000166535,610627,gene
A4GALT,53947,ENSG00000128274,607922,gene
A4GNT,51146,ENSG00000118017,616709,gene
AAAS,8086,ENSG00000094914,605378,gene
AACS,65985,ENSG00000081760,614364,gene
AADAC,13,ENSG00000114771,600338,gene
AADAT,51166,ENSG00000109576,611754,gene
AAGAB,79719,ENSG00000103591,614888,gene
AAK1,22848,ENSG00000115977,616405,gene
AAMP,14,ENSG00000127837,603488,gene
AANAT,15,ENSG00000129673,600950,gene
AAR2,25980,ENSG00000131043,617365,gene
AARS1,16,ENSG00000090861,601065,gene
AARS2,57505,ENSG00000124608,612035,gene
AARSD1,80755,ENSG00000266967,613212,gene
AASDH,132949,ENSG00000157426,614365,gene
AASDHPPT,60496,ENSG00000149313,607756,gene
AASS,10157,ENSG00000008311,605113,gene
AATF,26574,ENSG00000275700,608463,gene
AATK,9625,ENSG00000181409,605276,gene
AAVS1,17,NA,102699,predominantly phenotypes
ABAT,18,ENSG00000183044,137150,gene
ABCA1,19,ENSG00000165029,600046,gene
ABCA10,10349,ENSG00000154263,612508,gene
ABCA12,26154,ENSG00000144452,607800,gene
ABCA13,154664,ENSG00000179869,607807,gene
ABCA2,20,ENSG00000107331,600047,gene
ABCA3,21,ENSG00000167972,601615,gene
ABCA4,24,ENSG00000198691,601691,gene
ABCA5,23461,ENSG00000154265,612503,gene
ABCA6,23460,ENSG00000154262,612504,gene
ABCA7,10347,ENSG00000064687,605414,gene
ABCA8,10351,ENSG00000141338,612505,gene
ABCA9,10350,ENSG00000154258,612507,gene
ABCB1,5243,ENSG00000085563,171050,gene
ABCB10,23456,ENSG00000135776,605454,gene
ABCB11,8647,ENSG00000073734,603201,gene
ABCB4,5244,ENSG00000005471,171060,gene
ABCB5,340273,ENSG00000004846,611785,gene
ABCB6,10058,ENSG00000115657,605452,gene
ABCB7,22,ENSG00000131269,300135,gene
ABCB8,11194,ENSG00000197150,605464,gene
ABCB9,23457,ENSG00000150967,605453,gene
ABCC1,4363,ENSG00000103222,158343,gene
ABCC10,89845,ENSG00000124574,612509,gene
ABCC11,85320,ENSG00000121270,607040,gene
ABCC12,94160,ENSG00000140798,607041,gene
ABCC13,150000,ENSG00000243064,608835,gene
ABCC2,1244,ENSG00000023839,601107,gene
ABCC3,8714,ENSG00000108846,604323,gene
ABCC4,10257,ENSG00000125257,605250,gene
ABCC5,10057,ENSG00000114770,605251,gene
ABCC6,368,ENSG00000091262,603234,gene
ABCC8,6833,ENSG00000006071,600509,gene
ABCC9,10060,ENSG00000069431,601439,gene
ABCD1,215,ENSG00000101986,300371,gene
ABCD2,225,ENSG00000173208,601081,gene
ABCD3,5825,ENSG00000117528,170995,gene
ABCD4,5826,ENSG00000119688,603214,gene
