number_chromosome,genomic_position_start,genomic_position_end,cyto_location,computed_cyto_location,mim_number,gene_symbols,gene_name,approved_symbol,entrez_gene_id,ensembl_gene_id,comments,phenotypes,mouse_gene_symbol_id
1,0,27600000,1p36,NA,607413,AD7CNTP,Alzheimer disease neuronal thread protein,NA,NA,NA,NA,NA,NA
1,0,27600000,1p36,NA,612367,ALPQTL2,"Alkaline phosphatase, plasma level of, QTL 2",NA,100196914,NA,linkage with rs1780324,"{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)",NA
1,0,123400000,1p,NA,606788,ANON1,"Anorexia nervosa, susceptibility to, 1",NA,171514,NA,NA,"{Anorexia nervosa, susceptibility to, 1}, 606788 (2)",NA
1,0,27600000,1p36,NA,605462,BCC1,"Basal cell carcinoma, susceptibility to, 1",NA,100307118,NA,associated with rs7538876,"{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)",NA
1,0,27600000,1p36,NA,606928,BMND3,Bone mineral density QTL 3,NA,246259,NA,?another locus at 3p21,"[Bone mineral density QTL 3], 606928 (2)",NA
1,0,27600000,1p36,NA,155600,"CMM, MLM, DNS",Cutaneous malignant melanoma/dysplastic nevus,CMM,1243,NA,some linkage studies negative; see 9p,"{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant",NA
1,0,20100000,1pter-p36.13,NA,115665,"CTRCT8, CCV","Cataract, congenital, Volkmann type",CCV,7792,NA,linked to Rh in Scottish family,"Cataract 8, multiple types, 115665 (2), Autosomal dominant",NA
1,0,27600000,1p36,NA,607872,"DEL1p36, C1DELp36",Chromosome 1p36 deletion syndrome,NA,NA,NA,contiguous gene deletion syndrome,"Chromosome 1p36 deletion syndrome, 607872 (4), Isolated cases",NA
1,0,46300000,1p36-p34,NA,608995,DYX8,"Dyslexia, susceptibility to, 8",DYX8,406874,NA,between D1S552 and D1S1622,"{Dyslexia, susceptibility to, 8}, 608995 (2), Autosomal dominant, Multifactorial",NA
1,0,27600000,1pter-p36,NA,131190,"ERPL1, HLM2",Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2),NA,NA,NA,NA,NA,NA
1,0,27600000,1p36,NA,605225,IBD7,Inflammatory bowel disease 7,IBD7,57042,NA,associated with rs6426833,"{Inflammatory bowel disease 7}, 605225 (2)",NA
1,0,27600000,1p36,NA,612596,MS4,"Multiple sclerosis, susceptibility to, 4",NA,100271696,NA,associated with rs10492972,"{Multiple sclerosis, susceptibility to, 4}, 612596 (2)",NA
1,0,27600000,1p36,NA,610320,MYP14,Myopia 14,MYP14,100359407,NA,between D1S552 and D1S1622,"Myopia 14, 610320 (2)",NA
1,0,123400000,1p,NA,605606,PSORS7,Psoriasis susceptibility 7,PSORS7,65245,NA,NA,"{Psoriasis susceptibility 7}, 605606 (2)",NA
